,Year,Quarter,Subject,ID,College,MinUnit,Unit,PassNP,Letter,Monday,Tuesday,Wednesday,Thursday,Friday,StartTime,EndTime,Building,CurEnroll,MaxEnroll,RatioEnroll
471,,2,ART,130,L&S,,4.0,1,1,1,0,0,0,0,960.0,1130.0,ARTS,30,29,1.0344827586206897
472,,2,ART,137,L&S,,4.0,1,1,1,0,1,0,0,600.0,710.0,ARTS,15,15,1.0
473,,2,ART,185GL,L&S,,4.0,0,1,0,1,0,1,0,600.0,710.0,ELNGS,15,15,1.0
474,,2,ART,185LJ,L&S,,4.0,0,1,1,0,1,0,0,600.0,710.0,ARTS,12,11,1.0909090909090908
475,,2,ART,192ES,L&S,1.0,4.0,1,0,0,0,0,0,0,,,nan,0,0,
476,,2,ART,192IA,L&S,1.0,4.0,1,0,0,0,0,0,0,,,nan,0,0,
477,,2,ART,196,L&S,,4.0,0,1,0,0,1,0,0,780.0,950.0,ARTS,2,9,0.2222222222222222
478,,2,ART,199,L&S,1.0,5.0,1,1,0,0,0,0,0,,,nan,0,10,0.0
479,,2,ART,199RA,L&S,1.0,5.0,0,1,0,0,0,0,0,,,nan,0,10,0.0
480,,2,BIOL CS,25,CRST,1.0,6.0,1,0,0,0,0,1,0,780.0,950.0,CRST,11,11,1.0
481,,2,BIOL CS,30,CRST,1.0,6.0,1,0,0,1,0,1,0,660.0,735.0,CRST,18,30,0.6
482,,2,BIOL CS,101,CRST,1.0,6.0,1,0,1,0,0,0,0,570.0,680.0,CRST,2,15,0.13333333333333333
483,,2,BIOL CS,101,CRST,1.0,6.0,1,0,0,1,0,0,0,900.0,1010.0,CRST,6,20,0.3
484,,2,C LIT,30C,L&S,,4.0,1,1,0,1,0,1,0,840.0,915.0,CHEM,250,250,1.0
485,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,1080.0,1130.0,GIRV,25,25,1.0
486,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,960.0,1010.0,GIRV,25,25,1.0
487,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,1080.0,1130.0,GIRV,25,25,1.0
488,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,1080.0,1130.0,GIRV,25,25,1.0
489,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,960.0,1010.0,GIRV,25,25,1.0
490,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,960.0,1010.0,GIRV,25,25,1.0
491,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,1020.0,1070.0,GIRV,25,25,1.0
492,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,1020.0,1070.0,SH,25,25,1.0
493,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,1020.0,1070.0,HSSB,25,25,1.0
494,,2,C LIT,30C,L&S,,4.0,1,1,0,0,0,1,0,1080.0,1130.0,HSSB,25,25,1.0
495,,2,C LIT,30H,L&S,,1.0,1,1,0,0,0,1,0,960.0,1010.0,GIRV,12,12,1.0
496,,2,C LIT,31,L&S,,4.0,1,1,0,1,0,1,0,1020.0,1095.0,BUCHN,100,100,1.0
