20184_MATRL.html,MATRL   100A,ENGR,3.0,Letter,M W,3:30pm - 4:45pm,GIRV 2129,11 / 38
20184_MATRL.html,MATRL   100A,ENGR,3.0,Letter,F,2:00pm - 2:50pm,HSSB 1224,9 / 19
20184_MATRL.html,MATRL   100A,ENGR,3.0,Letter,F,3:00pm - 3:50pm,PHELP1417,2 / 19
20184_MATRL.html,MATRL   100A,ENGR,3.0,Letter,T R,11:00am - 12:15pm,387  1011,7 / 38
20184_MATRL.html,MATRL   100A,ENGR,3.0,Letter,T,3:00pm - 3:50pm,PHELP1417,6 / 19
20184_MATRL.html,MATRL   100A,ENGR,3.0,Letter,R,4:00pm - 4:50pm,PHELP1417,1 / 19
20184_MATRL.html,MATRL   162A,ENGR,4.0,Letter,M W,3:30pm - 4:45pm,387  1011,0 / 14
20184_MATRL.html,MATRL   162A,ENGR,4.0,Letter,F,2:00pm - 2:50pm,PHELP1417,0 / 14
20184_BIOL.html,BIOL CS  10,CRST,1.0 - 6.0,Pass/No Pass,W,3:00pm - 4:50pm,CRST 136,0 / 20
20184_BIOL.html,BIOL CS  12,CRST,1.0 - 6.0,Pass/No Pass,R,8:00 am - 8:50 am,CRST 143,1 / 12
20184_BIOL.html,BIOL CS 101,CRST,1.0 - 6.0,Pass/No Pass,T,1:00pm - 2:50pm,CRST 160B,6 / 15
20184_ART.html,ART       1A,L&S,5.0,Optional,T R,12:30pm - 1:45pm,BUCHN1930,14 / 100
20184_ART.html,ART       1A,L&S,5.0,Optional,T,9:00 am - 9:50 am,ARTS 1344,5 / 22
20184_ART.html,ART       1A,L&S,5.0,Optional,T,4:00pm - 4:50pm,ARTS 1344,4 / 22
20184_ART.html,ART       1A,L&S,5.0,Optional,W,11:00am - 11:50am,ARTS 1344,5 / 22
20184_ART.html,ART       1A,L&S,5.0,Optional,W,10:00am - 10:50am,ARTS 1344,0 / 22
20184_ART.html,ART       1C,L&S,2.0,Optional,R,5:00pm - 6:50pm,EMBARHALL,25 / 172
20184_ART.html,ART       7B,L&S,5.0,Optional,M,5:00pm - 6:50pm,HSSB 1173,5 / 75
20184_ART.html,ART       7B,L&S,5.0,Optional,W F,11:00am - 12:50pm,ARTS 1345,2 / 23
20184_ART.html,ART       7B,L&S,5.0,Optional,T R,11:00am - 12:50pm,ARTS 1345,1 / 23
20184_ART.html,ART       7B,L&S,5.0,Optional,T R,1:00pm - 2:50pm,ARTS 1345,2 / 23
20184_ART.html,ART      10,L&S,4.0,Optional,T R,1:00pm - 3:50pm,ARTS 2628,4 / 18
20184_ART.html,ART      12,L&S,4.0,Optional,M W,9:00 am - 11:50am,ARTS 0641,4 / 17
20184_ART.html,ART      14,L&S,4.0,Optional,T R,9:00 am - 11:50am,ARTS 2235,3 / 17
20184_ART.html,ART  CS  15,CRST,1.0 - 6.0,Pass/No Pass,T,10:00am - 11:50am,CRST 136,0 / 20
20184_ART.html,ART      18,L&S,4.0,Optional,M W,9:00 am - 11:50am,ARTS 2636,1 / 18
20184_ART.html,ART      19,L&S,4.0,Optional,M W,12:00pm - 12:50pm,ARTS 1237,4 / 60
20184_ART.html,ART      19,L&S,4.0,Optional,M W,10:00am - 12:50pm,ARTS 1237,3 / 30
20184_ART.html,ART      19,L&S,4.0,Optional,M W,12:00pm - 2:50pm,ARTS 1237,1 / 29
20184_ART.html,ART      22,L&S,4.0,Letter,T R,1:00pm - 3:50pm,ARTS 2220,2 / 20
20184_ART.html,ART      32,L&S,4.0,Letter,N/A,N/A,N/A,1 / 14
20184_ART.html,ART     100,L&S,4.0,Optional,T R,1:00pm - 2:50pm,ARTS 2422,4 / 18
20184_ART.html,ART     101,L&S,4.0,Letter,R,1:00pm - 3:50pm,ARTS 2432,0 / 11
20184_ART.html,ART  CS 101,CRST,1.0 - 6.0,Pass/No Pass,M,1:00pm - 4:50pm,CRST 120,3 / 9
20184_ART.html,ART  CS 102,CRST,1.0 - 6.0,Pass/No Pass,T R,2:00pm - 3:50pm,CRST 136,2 / 12
20184_ART.html,ART  CS 102,CRST,1.0 - 6.0,Pass/No Pass,W,2:00pm - 4:50pm,CRST 120,2 / 12
20184_ART.html,ART     102MM,L&S,4.0,Letter,M W,1:00pm - 3:50pm,ARTS 2220,1 / 14
20184_ART.html,ART  CS 105,CRST,1.0 - 6.0,Pass/No Pass,W,1:00pm - 4:50pm,CRST 107,6 / 0
20184_ART.html,ART  CS 105,CRST,1.0 - 6.0,Pass/No Pass,W,6:00pm - 7:50pm,CRST 107,6 / 0
20184_ART.html,ART     105PP,L&S,4.0,Letter,M W,1:00pm - 3:50pm,ARTS 0641,1 / 14
20184_ART.html,ART     106IV,L&S,4.0,Letter,W,4:00pm - 6:50pm,ARTS 0641,0 / 15
20184_ART.html,ART     110,L&S,4.0,Letter,T R,1:00pm - 3:50pm,ARTS 2235,0 / 17
20184_ART.html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M,3:00pm - 4:50pm,CRST 136,4 / 8
20184_ART.html,ART     117,L&S,4.0,Optional,M W,1:00pm - 3:50pm,ARTS 2636,4 / 18
20184_ART.html,ART     122PC,L&S,4.0,Letter,T R,9:00 am - 11:50am,ARTS 2220,0 / 15
20184_ART.html,ART     126,L&S,4.0,Letter,T R,2:00pm - 3:15pm,ARTS 1344,3 / 15
20184_ART.html,ART     136,L&S,4.0,Optional,M W,1:00pm - 3:50pm,ARTS 1344,8 / 15
20184_ART.html,ART     192ES,L&S,1.0 - 4.0,Pass/No Pass,N/A,N/A,N/A,0 / 10
20184_ART.html,ART     192IA,L&S,1.0 - 4.0,Pass/No Pass,N/A,N/A,N/A,0 / 10
20184_ART.html,ART     196,L&S,4.0,Letter,T,3:00pm - 5:50pm,ARTS 1352,0 / 10
20184_ART.html,ART     199,L&S,1.0 - 5.0,Letter,N/A,N/A,N/A,0 / 10
20184_ART.html,ART     199RA,L&S,1.0 - 5.0,Letter,N/A,N/A,N/A,0 / 10
20184_EACS.html,EACS     21,L&S,4.0,Optional,M W,5:00pm - 6:15pm,BRDA 1610,14 / 76
20184_EACS.html,EACS     21,L&S,4.0,Optional,M,8:00 am - 8:50 am,GIRV 1106,3 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,M,9:00 am - 9:50 am,GIRV 2110,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,M,2:00pm - 2:50pm,GIRV 2110,2 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,M,3:00pm - 3:50pm,GIRV 2110,1 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,T,12:00pm - 12:50pm,HSSB 3001E,1 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,T,1:00pm - 1:50pm,GIRV 2110,2 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,T,10:00am - 10:50am,ELLSN2816,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,T,11:00am - 11:50am,HSSB 1210,1 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,W,8:00 am - 8:50 am,GIRV 1106,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,W,10:00am - 10:50am,HSSB 3201,3 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,W,9:00 am - 9:50 am,GIRV 2135,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,F,12:00pm - 12:50pm,HSSB 4201,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,F,1:00pm - 1:50pm,HSSB 2202,1 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,F,2:00pm - 2:50pm,HSSB 2202,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,R,12:00pm - 12:50pm,HSSB 3041,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,R,1:00pm - 1:50pm,HSSB 4202,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,W,2:00pm - 2:50pm,GIRV 2110,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,W,4:00pm - 4:50pm,GIRV 2135,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,R,3:00pm - 3:50pm,HSSB 2202,0 / 4
20184_EACS.html,EACS     21,L&S,4.0,Optional,R,4:00pm - 4:50pm,HSSB 2202,0 / 4
20184_EACS.html,EACS     30,L&S,4.0,Optional,T R,9:30 am - 10:45am,BRDA 1640,0 / 60
20184_EACS.html,EACS     30,L&S,4.0,Optional,T,12:00pm - 12:50pm,HSSB 4201,0 / 15
20184_EACS.html,EACS     30,L&S,4.0,Optional,T,1:00pm - 1:50pm,GIRV 1106,0 / 15
20184_EACS.html,EACS     30,L&S,4.0,Optional,T,2:00pm - 2:50pm,GIRV 2110,0 / 15
20184_EACS.html,EACS     30,L&S,4.0,Optional,R,4:00pm - 4:50pm,HSSB 3201,0 / 15
20184_EACS.html,EACS     30,L&S,4.0,Optional,R,6:00pm - 6:50pm,ELLSN2816,0 / 0
20184_EACS.html,EACS     80,L&S,4.0,Optional,T R,5:00pm - 6:15pm,PSYCH1924,2 / 54
20184_EACS.html,EACS     80,L&S,4.0,Optional,W,1:00pm - 1:50pm,HSSB 1206,1 / 9
20184_EACS.html,EACS     80,L&S,4.0,Optional,W,2:00pm - 2:50pm,HSSB 3202,0 / 9
20184_EACS.html,EACS     80,L&S,4.0,Optional,W,3:00pm - 3:50pm,HSSB 3202,1 / 9
20184_EACS.html,EACS     80,L&S,4.0,Optional,F,9:00 am - 9:50 am,ELLSN2816,0 / 9
20184_EACS.html,EACS     80,L&S,4.0,Optional,F,10:00am - 10:50am,ELLSN2816,0 / 9
20184_EACS.html,EACS     80,L&S,4.0,Optional,F,11:00am - 11:50am,GIRV 1108,0 / 9
20184_EACS.html,EACS    186,L&S,4.0,Optional,M W,9:30 am - 10:45am,GIRV 1116,0 / 40
20184_HEB.html,HEB       1,L&S,4.0,Optional,MTWR,10:00am - 10:50am,HSSB 3202,5 / 20
20184_HEB.html,HEB       4,L&S,4.0,Optional,MTWR,11:00am - 11:50am,HSSB 3202,1 / 20
20184_HEB.html,HEB     114A,L&S,4.0,Optional,T R,9:30 am - 10:45am,HSSB 4202,0 / 20
20184_MATH CS .html,MATH CS 101A,CRST,1.0 - 4.0,Pass/No Pass,T R,3:00pm - 4:15pm,CRST 164B,0 / 25
20184_MATH CS .html,MATH CS 120,CRST,1.0 - 6.0,Pass/No Pass,T R,3:30pm - 4:45pm,CRST 143,13 / 20
