20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,10:00am - 10:50am,SH   1609,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,R,9:00 am - 9:50 am,GIRV 1112,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,1:00pm - 1:50pm,KERR 2166B,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,2:00pm - 2:50pm,KERR 2166B,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,W,12:00pm - 12:50pm,PHELP2516,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,12:00pm - 12:50pm,GIRV 2120,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,11:00am - 11:50am,HSSB 2251,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,9:00 am - 9:50 am,GIRV 1119,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,11:00am - 11:50am,GIRV 2116,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,W,2:00pm - 2:50pm,NH   1109,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,T,8:00 am - 8:50 am,HSSB 1232,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,4:00pm - 4:50pm,GIRV 2119,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,T R,12:30pm - 1:45pm,EMBARHALL,247 / 247
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,T,9:00 am - 9:50 am,NH   1109,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,W,1:00pm - 1:50pm,PHELP2516,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,M,10:00am - 10:50am,BUCHN1934,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,W,9:00 am - 9:50 am,GIRV 2127,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,W,3:00pm - 3:50pm,GIRV 2120,25 / 25
